Shipment Date,CountryName,Product,BDS$_Value,,,,,,,
12-Mar-13,United States,SAILS,"$10,731.32",,,,,,,
12-Mar-13,United States,SAILS,"$3,901.90",,,,,,,
12-Mar-13,United States,SAILS,"$15,072.98",,,,,,,
12-Mar-13,United States,RESISTORS,"$235,119.32",,,,,,,
12-Mar-13,United States,RESISTORS,"$10,000.00",,,,,,,
14-Mar-13,United States,RUM,"$483,480.18",,,,,,,
15-Mar-13,United States,RUM,"$196,313.90",,,,,,,
15-Mar-13,Canada,BEER,"$65,988.00",,,,,,,
18-Mar-13,United States,RUM,"$393,371.28",,,,,,,
19-Mar-13,United States,SAILS,"$2,610.00",,,,,,,
19-Mar-13,United States,SAILS,"$8,424.00",,,,,,,
19-Mar-13,United States,SAILS,"$14,195.66",,,,,,,
19-Mar-13,United States,RESISTORS,"$151,820.02",,,,,,,
19-Mar-13,Canada,SAILS,"$3,130.68",,,,,,,
20-Mar-13,United States,JUICE DRINKS,"$27,600.00",,,,,,,
20-Mar-13,Canada,CUT FLOWERS,$588.00,,,,,,,
20-Mar-13,Canada,CUT FLOWERS,$700.00,,,,,,,
20-Mar-13,Canada,RUM,"$1,229.00",,,,,,,
22-Mar-13,United States,RUM,"$159,132.06",,,,,,,
25-Mar-13,United States,SWEETENED BISCUITS,"$43,447.02",,,,,,,
25-Mar-13,United States,RUM,"$60,227.26",,,,,,,
25-Mar-13,United States,RUM,"$269,818.96",,,,,,,
25-Mar-13,United States,RUM,"$59,394.62",,,,,,,
25-Mar-13,Canada,RUM,"$314,132.04",,,,,,,
25-Mar-13,Canada,RUM,"$480,382.82",,,,,,,
25-Mar-13,Canada,CUT FLOWERS,$588.00,,,,,,,
25-Mar-13,Canada,CUT FLOWERS,$700.00,,,,,,,
26-Mar-13,United States,SAILS,"$2,961.88",,,,,,,
26-Mar-13,United States,SAILS,"$4,466.00",,,,,,,
26-Mar-13,United States,SAILS,"$8,421.66",,,,,,,
26-Mar-13,United States,SAILS,$522.00,,,,,,,
26-Mar-13,United States,SAILS,"$5,930.00",,,,,,,
27-Mar-13,United States,RUM,"$59,837.14",,,,,,,
28-Mar-13,United States,RUM,"$59,524.58",,,,,,,
28-Mar-13,Canada,RUM,"$240,306.04",,,,,,,
03-Apr-13,United States,SAILS,"$2,520.00",,,,,,,
03-Apr-13,United States,SAILS,"$9,731.72",,,,,,,
03-Apr-13,United States,SAILS,"$6,284.10",,,,,,,
03-Apr-13,United States,RESISTORS,"$454,855.88",,,,,,,
03-Apr-13,United States,SAILS,"$8,410.00",,,,,,,
03-Apr-13,United States,SAILS,$757.40,,,,,,,
03-Apr-13,Canada,CUT FLOWERS,$588.00,,,,,,,
03-Apr-13,Canada,RUM,"$171,197.84",,,,,,,
03-Apr-13,Canada,CUT FLOWERS,$825.00,,,,,,,
04-Apr-13,Canada,RUM,"$131,325.36",,,,,,,
08-Apr-13,United States,SWEETENED BISCUITS,"$41,426.02",,,,,,,
08-Apr-13,United States,SWEETENED BISCUITS,"$44,111.04",,,,,,,
08-Apr-13,United States,RUM,"$59,403.02",,,,,,,
08-Apr-13,Canada,FRESH  PRODUCE ,"$2,770.00",,,,,,,
08-Apr-13,Canada,RUM,"$375,222.40",,,,,,,
08-Apr-13,Canada,RUM,"$242,033.32",,,,,,,
09-Apr-13,United States,SAILS,"$3,684.68",,,,,,,
09-Apr-13,United States,SAILS,"$27,910.16",,,,,,,
09-Apr-13,United States,SAILS,"$7,900.00",,,,,,,
09-Apr-13,United States,SAILS,"$3,438.00",,,,,,,
09-Apr-13,Canada,CUT FLOWERS,$653.00,,,,,,,
09-Apr-13,Canada,CUT FLOWERS,$850.00,,,,,,,
10-Apr-13,United States,USED VEGETABLE OIL,"$1,200.00",,,,,,,
10-Apr-13,United States,RESISTORS,"$67,766.74",,,,,,,
10-Apr-13,Canada,RUM,"$27,171.20",,,,,,,
11-Apr-13,United States,TORTUGA RUM CAKES,"$46,729.08",,,,,,,
12-Apr-13,Canada,SWEETENED & UNSWEETENED BISCUITS,"$39,741.50",,,,,,,
15-Apr-13,United States,FRUTEE,"$22,575.00",,,,,,,
15-Apr-13,United States,RESISTORS,"$15,124.00",,,,,,,
15-Apr-13,United States,RUM,"$184,132.14",,,,,,,
15-Apr-13,Canada,CUT FLOWERS,$767.00,,,,,,,
15-Apr-13,Canada,CUT FLOWERS,$975.00,,,,,,,
16-Apr-13,United States,SAILS,"$5,428.80",,,,,,,
16-Apr-13,United States,SAILS,"$1,120.00",,,,,,,
16-Apr-13,United States,SAILS,$769.52,,,,,,,
16-Apr-13,United States,SAILS,$858.00,,,,,,,
16-Apr-13,United States,SAILS,"$6,741.40",,,,,,,
17-Apr-13,United States,JUICE DRINKS,"$41,775.00",,,,,,,
17-Apr-13,United States,RESISTORS,"$194,171.36",,,,,,,
17-Apr-13,Canada,RUM,"$246,899.24",,,,,,,
17-Apr-13,Canada,RUM,"$144,184.96",,,,,,,
18-Apr-13,United States,RUM,"$1,012,250.70",,,,,,,
18-Apr-13,United States,TORTUGA RUM CAKES,"$66,031.60",,,,,,,
19-Apr-13,United States,MARGARINE,"$4,511.44",,,,,,,
19-Apr-13,United States,BREADFRUIT,"$3,500.00",,,,,,,
22-Apr-13,United States,RUM,"$6,091.58",,,,,,,
23-Apr-13,United States,CONFECTIONERY,"$4,955.00",,,,,,,
23-Apr-13,United States,CORN MEAL,"$16,045.00",,,,,,,
23-Apr-13,United States,GINGER BEER SYRUP,"$35,250.00",,,,,,,
23-Apr-13,United States,SWEETENED BISCUITS,"$39,557.00",,,,,,,
23-Apr-13,United States,SAILS,"$2,678.00",,,,,,,
23-Apr-13,United States,SAILS,"$5,530.00",,,,,,,
23-Apr-13,United States,SAILS,"$6,700.00",,,,,,,
23-Apr-13,United States,SAILS,"$5,540.40",,,,,,,
23-Apr-13,United States,SAILS,"$1,201.00",,,,,,,
23-Apr-13,United States,SAILS,"$1,452.00",,,,,,,
23-Apr-13,United States,RUM,"$70,797.60",,,,,,,
23-Apr-13,Canada,FRESH  PRODUCE ,"$3,270.00",,,,,,,
23-Apr-13,Canada,SAILS,"$7,308.90",,,,,,,
23-Apr-13,Canada,CUT FLOWERS,"$1,771.00",,,,,,,
23-Apr-13,Canada,CUT FLOWERS,$920.00,,,,,,,
24-Apr-13,United States,SWEETENED BISCUITS,"$43,335.04",,,,,,,
24-Apr-13,United States,DVDS,"$2,000.00",,,,,,,
25-Apr-13,United States,RUM,"$831,215.66",,,,,,,
25-Apr-13,United States,TORTUGA RUM CAKES,"$64,919.36",,,,,,,
25-Apr-13,Canada,RUM,"$148,765.60",,,,,,,
26-Apr-13,United States,RUM,"$58,887.88",,,,,,,
26-Apr-13,United States,RUM,"$59,291.64",,,,,,,
